z_window,z_threshold,hold_days,trades,avg_return,median_return,win_rate,return_std,best_trade,worst_trade,quality_score,years_tested,positive_years
4,-1.1,4,105,0.018054622561933888,0.011031876280892527,0.5619047619047619,0.10656665086433777,0.4363945463471721,-0.25560552834458594,1.7360480693499136,6,4
4,-1.1,5,105,0.024435199725763662,0.030328626753126642,0.5904761904761905,0.11077246485950058,0.3283664007835865,-0.2852178471674264,2.260365776493913,6,5
4,-1.1,6,105,0.03015140302971974,0.02336721193176783,0.5619047619047619,0.13147807483721372,0.39180150363273314,-0.29804456891324005,2.349897066508422,6,5
4,-1.1,7,105,0.018674664502628998,0.014609241400758144,0.5333333333333333,0.1384373479554815,0.3830086074315793,-0.3233408597392706,1.3822741518480224,6,5
4,-1.2,1,79,0.00505677422137987,0.009510323462719628,0.620253164556962,0.04889823713506741,0.11067965592648465,-0.1243318538934356,0.9191659053054323,6,3
4,-1.2,2,79,0.011445280357603222,0.002581541056415393,0.5189873417721519,0.07526535855162912,0.2265133320427155,-0.14197843456253667,1.351589614886101,6,5
4,-1.2,3,79,0.021586833919093683,0.017570687727342493,0.5822784810126582,0.09684841094761257,0.43702249685231354,-0.166363958150599,1.9811164153327498,6,5
4,-1.2,4,79,0.028184849590329648,0.02939334464240262,0.6075949367088608,0.1081808653746587,0.4363945463471721,-0.25560552834458594,2.315681446197138,6,5
4,-1.2,5,79,0.02863325813586061,0.0516957418845545,0.5949367088607594,0.11030839499074613,0.3283664007835865,-0.2852178471674264,2.307149561319086,6,6
4,-1.2,6,79,0.03589748944241668,0.04167753764196891,0.5949367088607594,0.13107531004784748,0.39180150363273314,-0.29804456891324005,2.4342026361887887,6,6
4,-1.2,7,79,0.02060472645838598,0.001352842102580798,0.5063291139240507,0.13865785979363654,0.3830086074315793,-0.29325308870839106,1.3207964910918515,6,4
4,-1.3,1,60,0.00974016570520709,0.012416995415683418,0.6333333333333333,0.04305097360460175,0.11067965592648465,-0.08352353509403143,1.7525038997740756,6,5
4,-1.3,2,60,0.01349459918007973,-0.004292516625589049,0.48333333333333334,0.07322738743758275,0.2265133320427155,-0.13393466551885636,1.4274538452636163,6,3
4,-1.3,3,60,0.03169757469197658,0.025657053978616062,0.6333333333333333,0.10084293481760938,0.43702249685231354,-0.166363958150599,2.434760137023574,6,5
4,-1.3,4,60,0.04646049875988824,0.06022132588921769,0.6666666666666666,0.10421107336095924,0.4363945463471721,-0.14304451572106913,3.453389973832646,6,6
4,-1.3,5,60,0.04201787322691146,0.05382089006589075,0.6333333333333333,0.1048787031447954,0.3283664007835865,-0.20948503381322603,3.1032901508366577,6,6
4,-1.3,6,60,0.04492471746387793,0.038787690339122216,0.6166666666666667,0.12300288694226903,0.39180150363273314,-0.2669770727101105,2.829082908474101,6,4
4,-1.3,7,60,0.02398422467482456,-0.003168072647530773,0.4666666666666667,0.13935417555841123,0.3830086074315793,-0.23365871881686084,1.3331570778567285,6,4
4,-1.4,1,35,0.006953057096655356,0.0030601394308840124,0.5714285714285714,0.0421536034989366,0.11067965592648465,-0.08352353509403143,0.9758321259841467,6,3
4,-1.4,2,35,0.012866772201367982,-0.005478350709307578,0.45714285714285713,0.07901097278833857,0.2027525850583991,-0.13393466551885636,0.9634212591987745,6,5
4,-1.4,3,35,0.03633584835392086,0.03778666398129671,0.6857142857142857,0.10965120269926171,0.43702249685231354,-0.166363958150599,1.9604507069383206,6,5
4,-1.4,4,35,0.05817971268576628,0.06135446869742256,0.7428571428571429,0.10768725605217602,0.4363945463471721,-0.13421919100513846,3.1962539916518846,6,6
4,-1.4,5,35,0.04620520971860355,0.05586302275106658,0.7142857142857143,0.09999776616234442,0.3283664007835865,-0.20948503381322603,2.7335981350455762,6,6
4,-1.4,6,35,0.05071102890956758,0.023334614855480496,0.6571428571428571,0.12472965446180324,0.39180150363273314,-0.2669770727101105,2.4052860100237594,6,5
4,-1.4,7,35,0.02853547909588762,-0.006114724021395679,0.45714285714285713,0.14086767886087506,0.3830086074315793,-0.22754343429138457,1.198416644225196,6,4
5,-1.0,1,91,0.005718741996332612,0.013151421326983215,0.5934065934065934,0.04621057688049144,0.11067965592648465,-0.1243318538934356,1.1805375611733901,6,5
