z_window,z_threshold,hold_days,signal_date,entry_date,exit_date,signal_z_score,entry_price,exit_price,return,winner,year
10,-1.25,1,2021-08-17,2021-08-18,2021-08-18,-1.7962730937594023,39.12835955420487,37.470338985443114,-0.042373883997484874,False,2021
10,-1.25,1,2021-11-26,2021-11-29,2021-11-29,-1.7062391363028784,62.10619762274401,66.3048674697876,0.06760468371526862,True,2021
10,-1.25,1,2021-12-16,2021-12-17,2021-12-17,-1.4367778215327087,55.686780945125086,57.14566654586792,0.026198059503214077,True,2021
10,-1.25,1,2022-04-01,2022-04-04,2022-04-04,-1.4320253687311184,35.54034865982122,36.807435962677005,0.03565207857086228,True,2022
10,-1.25,1,2022-04-05,2022-04-06,2022-04-06,-1.7878790515212353,29.97320472399012,29.583641292572022,-0.012997056371029103,False,2022
10,-1.25,1,2022-08-09,2022-08-10,2022-08-10,-1.7926551940948485,18.56155034397228,19.330297874450682,0.04141612722172461,True,2022
10,-1.25,1,2022-08-22,2022-08-23,2022-08-23,-1.7742442835516128,16.615895715491366,16.825418100357055,0.012609755649245269,True,2022
10,-1.25,1,2022-08-26,2022-08-29,2022-08-29,-1.5208461581461221,15.059370254629362,14.61180217552185,-0.029720238731093418,False,2022
10,-1.25,1,2022-11-28,2022-11-29,2022-11-29,-1.25973509881845,11.663343468824676,11.425746196746827,-0.02037128313274239,False,2022
10,-1.25,1,2022-12-06,2022-12-07,2022-12-07,-1.3434708092035113,11.136297701975419,11.396525301933288,0.02336751467336473,True,2022
10,-1.25,1,2023-02-17,2023-02-21,2023-02-21,-1.4820177670082044,14.486711535417783,13.695288728713988,-0.054630949527012196,False,2023
10,-1.25,1,2023-04-12,2023-04-13,2023-04-13,-1.3842625642438982,15.097132263041104,15.341090772628784,0.016159261595985797,True,2023
10,-1.25,1,2023-04-19,2023-04-20,2023-04-20,-1.3440318469973418,14.50855120822883,14.880957189559936,0.025668033698629245,True,2023
10,-1.25,1,2023-04-21,2023-04-24,2023-04-24,-1.5683945356505566,14.49873980360003,14.322920127868652,-0.012126548797552816,False,2023
10,-1.25,1,2023-06-23,2023-06-26,2023-06-26,-1.459109731315596,21.929062319310482,21.659728425979615,-0.012282052438406965,False,2023
10,-1.25,1,2023-09-12,2023-09-13,2023-09-13,-1.5259032669388546,20.514283742221,20.81647919654846,0.014730977601986828,True,2023
10,-1.25,1,2023-12-04,2023-12-05,2023-12-05,-1.4003856754036488,21.335599608811798,21.53850806236267,0.009510323462719628,True,2023
10,-1.25,1,2024-01-02,2024-01-03,2024-01-03,-1.624013770509687,26.226400861672825,25.83931959915161,-0.014759221616523543,False,2024
10,-1.25,1,2024-01-31,2024-02-01,2024-02-01,-1.27086336525093,31.838589736350293,31.942318462371826,0.003257956048948518,True,2024
10,-1.25,1,2024-03-14,2024-03-15,2024-03-15,-1.5949034065118446,41.23827559807437,42.07133183670044,0.020201044455529393,True,2024
10,-1.25,1,2024-04-12,2024-04-15,2024-04-15,-1.5403935361643057,42.43705497587952,39.18988160705566,-0.07651740608931268,False,2024
10,-1.25,1,2024-06-24,2024-06-25,2024-06-25,-1.3919314443495545,53.68277869468384,54.63260671234131,0.017693346744577676,True,2024
10,-1.25,1,2024-07-17,2024-07-18,2024-07-18,-2.431054961205587,53.613488324659784,51.036539783477785,-0.04806530262640485,False,2024
10,-1.25,1,2024-10-15,2024-10-16,2024-10-16,-1.340398540703521,35.45196556078818,34.10444174194336,-0.038009847903475724,False,2024
10,-1.25,1,2024-10-31,2024-11-01,2024-11-01,-2.2935639432098114,30.434150582705534,30.511897974014282,0.002554610193488571,True,2024
10,-1.25,1,2024-11-15,2024-11-18,2024-11-18,-1.7546630705288184,26.477413909633217,27.384502910614014,0.034258972725836,True,2024
10,-1.25,1,2024-12-10,2024-12-11,2024-12-11,-1.4097791597655571,28.093825835278203,28.819544094085693,0.025831948381205727,True,2024
10,-1.25,1,2024-12-19,2024-12-20,2024-12-20,-1.5229748415063544,25.604750189263072,27.018320920944213,0.05520736274450733,True,2024
10,-1.25,1,2025-05-23,2025-05-27,2025-05-27,-1.8898491928734664,16.69908622252445,17.213282106399536,0.030791857531792255,True,2025
10,-1.25,1,2025-07-22,2025-07-23,2025-07-23,-1.7739024346501204,25.668191678003822,25.746739923477172,0.0030601394308840124,True,2025
10,-1.25,1,2025-07-31,2025-08-01,2025-08-01,-1.5972318525203557,23.596724056565943,24.048932670593263,0.01916404213327616,True,2025
10,-1.25,1,2025-09-02,2025-09-03,2025-09-03,-1.2833223824498114,25.428022679868224,24.877862508773802,-0.021635979250954174,False,2025
10,-1.25,1,2025-11-06,2025-11-07,2025-11-07,-1.3550606219133687,41.14109847259521,41.69826167678833,0.013542740103652084,True,2025
10,-1.25,1,2025-11-13,2025-11-14,2025-11-14,-1.6237907794425925,35.77574168014526,38.821140609741214,0.08512469026703884,True,2025
10,-1.25,1,2025-12-12,2025-12-15,2025-12-15,-1.463588341103698,43.15311061096191,41.138820304870606,-0.04667775457140799,False,2025
10,-1.25,1,2026-06-05,2026-06-08,2026-06-08,-1.5100123357343318,210.83061511230466,211.22856243896484,0.001887521536889647,True,2026
10,-1.25,1,2026-06-10,2026-06-11,2026-06-11,-1.3205821003549636,192.49230305480955,223.7660154876709,0.16246733992245166,True,2026
10,-1.25,2,2021-01-27,2021-01-28,2021-01-29,-2.294786590258944,33.97683041966189,32.35884792709351,-0.04762017152818576,False,2021
